task_id,participant_id,error_type,cell_accuracy
05a7bcf2,930b5094c7437d70f46d1d7f1f7b5e52,correct,1.0
3ed85e70,930b5094c7437d70f46d1d7f1f7b5e52,close_miss,0.9977777777777778
140c817e,09662d8592626fbd195e5476d4fdfec4,correct,1.0
3d31c5b3,09662d8592626fbd195e5476d4fdfec4,correct,1.0
b7999b51,09662d8592626fbd195e5476d4fdfec4,correct,1.0
c92b942c,09662d8592626fbd195e5476d4fdfec4,correct,1.0
ac3e2b04,09662d8592626fbd195e5476d4fdfec4,correct,1.0
72207abc,1a60b90e2a9c90b100e915adfdf7907e,wrong_size,
c97c0139,1a60b90e2a9c90b100e915adfdf7907e,wrong_size,
1e81d6f9,1a60b90e2a9c90b100e915adfdf7907e,close_miss,0.9911111111111112
69889d6e,5b19fc9f288ef4a1bd22a2cb9db89b97,correct,1.0
0a1d4ef5,5b19fc9f288ef4a1bd22a2cb9db89b97,correct,1.0
3490cc26,f81b7762601877a04aebe625b5d5d411,correct,1.0
bcb3040b,f81b7762601877a04aebe625b5d5d411,correct,1.0
9b365c51,8f42fd331f95d550ce7f9c1c56c0e6f8,correct,1.0
ce039d91,d231f7557ee47ca095c503834919a5b2,close_miss,0.88
3ed85e70,ef7001dbe837649d7dae2c70818d1b6c,close_miss,0.9944444444444445
97239e3d,c4237eaed664740f7a1df473e1677a38,correct,1.0
d304284e,bc33d9b92d4254fa7da932c945fe49fd,correct,1.0
25094a63,bc33d9b92d4254fa7da932c945fe49fd,correct,1.0
fafd9572,c27eefa832c63c90188b5feb8b450674,correct,1.0
9b2a60aa,bc33d9b92d4254fa7da932c945fe49fd,close_miss,0.9807692307692307
3ee1011a,c8e3ea259fc9d5884f572d32c4a6c55b,correct,1.0
917bccba,c8e3ea259fc9d5884f572d32c4a6c55b,correct,1.0
8a371977,c8e3ea259fc9d5884f572d32c4a6c55b,correct,1.0
32e9702f,c8e3ea259fc9d5884f572d32c4a6c55b,correct,1.0
9f27f097,c8e3ea259fc9d5884f572d32c4a6c55b,correct,1.0
ff72ca3e,73f03da0073f327eadaec5853e9af055,correct,1.0
4c177718,1a60b90e2a9c90b100e915adfdf7907e,correct,1.0
bd14c3bf,73f03da0073f327eadaec5853e9af055,correct,1.0
3ed85e70,73f03da0073f327eadaec5853e9af055,correct,1.0
c3202e5a,9c0960714b254e95b88beae6c822a27d,wrong_size,
aab50785,5a0531facfc7d4451b6cb3aade7e96d3,wrong_size,
c35c1b4c,b2d364f15c5c89403a3c998302edd460,correct,1.0
c7d4e6ad,b2d364f15c5c89403a3c998302edd460,correct,1.0
b9630600,b2d364f15c5c89403a3c998302edd460,correct,1.0
782b5218,b2d364f15c5c89403a3c998302edd460,correct,1.0
aee291af,c27eefa832c63c90188b5feb8b450674,correct,1.0
cf133acc,c27eefa832c63c90188b5feb8b450674,correct,1.0
9def23fe,ef7001dbe837649d7dae2c70818d1b6c,close_miss,0.995
712bf12e,ef7001dbe837649d7dae2c70818d1b6c,correct,1.0
fb791726,752eda01dd2daa4379f06e500223e98c,correct,1.0
e78887d1,9fa16b577ae9405d716e9dfe8aa62f91,correct,1.0
712bf12e,9fa16b577ae9405d716e9dfe8aa62f91,correct,1.0
bd14c3bf,ba6b8f4aa65a78d31660236ccd91a97e,correct,1.0
ea959feb,ba6b8f4aa65a78d31660236ccd91a97e,correct,1.0
b457fec5,ba6b8f4aa65a78d31660236ccd91a97e,correct,1.0
90347967,ba6b8f4aa65a78d31660236ccd91a97e,correct,1.0
90347967,256a69699ecbcb920e61647b64a20a25,close_miss,0.8024691358024691
fd4b2b02,5a0531facfc7d4451b6cb3aade7e96d3,wrong_size,
696d4842,be194891189c992c9d5bb13935783a32,close_miss,0.9775
5d2a5c43,be194891189c992c9d5bb13935783a32,wrong_content,0.6666666666666666
4852f2fa,be194891189c992c9d5bb13935783a32,wrong_size,
c8b7cc0f,be194891189c992c9d5bb13935783a32,correct,1.0
b0722778,5a0531facfc7d4451b6cb3aade7e96d3,wrong_size,
712bf12e,2315bacf64eae37e3bfbc4408ab998c0,wrong_content,0.44970414201183434
d19f7514,2315bacf64eae37e3bfbc4408ab998c0,wrong_size,
