task_id,human_accuracy,varc_correct,agreement
00576224,0.8333333333333334,True,True
009d5c81,0.7777777777777778,True,True
00dbd492,0.9230769230769231,False,False
03560426,0.7,False,False
05a7bcf2,1.0,True,True
0607ce86,0.75,True,True
0692e18c,0.3333333333333333,True,False
070dd51e,0.75,False,False
08573cc6,0.2857142857142857,False,True
0934a4d8,0.1111111111111111,False,True
09c534e7,0.8181818181818182,False,False
0a1d4ef5,1.0,False,False
0a2355a6,0.6666666666666666,False,False
0b17323b,0.8181818181818182,True,True
0bb8deee,0.7272727272727273,True,True
0becf7df,0.7692307692307693,True,True
0c786b71,0.6666666666666666,True,True
0c9aba6e,0.1111111111111111,True,False
0d87d2a6,0.6666666666666666,False,False
0e671a1a,0.6428571428571429,True,True
0f63c0b9,0.5,True,False
103eff5b,0.5,False,True
11e1fe23,0.6153846153846154,False,False
12422b43,0.6153846153846154,True,True
12997ef3,0.6363636363636364,False,False
12eac192,0.375,False,True
136b0064,0.25,False,True
13713586,0.5,True,False
137f0df0,0.75,True,True
140c817e,0.6428571428571429,True,True
14754a24,0.4444444444444444,True,False
15113be4,0.7,False,False
15663ba9,0.6666666666666666,True,True
15696249,0.6,True,True
16b78196,0.5714285714285714,False,False
17b80ad2,0.6153846153846154,True,True
17cae0c1,0.5,False,True
18419cfa,0.5,False,True
184a9768,0.6666666666666666,False,False
195ba7dc,0.4,True,False
1990f7a8,0.9375,True,True
19bb5feb,1.0,True,True
1a2e2828,0.75,True,True
1a6449f1,0.5833333333333334,False,False
1acc24af,0.23076923076923078,False,True
1c02dbbe,0.75,True,True
1c0d0a4b,0.8571428571428571,True,True
1c56ad9f,0.1111111111111111,True,False
1d0a4b61,0.6363636363636364,True,True
1d398264,0.8,True,True
1da012fc,0.9166666666666666,True,True
1e81d6f9,0.45454545454545453,True,False
1e97544e,1.0,False,False
2037f2c7,0.42857142857142855,False,True
2072aba6,0.7777777777777778,True,True
20818e16,0.7,False,False
20981f0e,0.6363636363636364,True,True
212895b5,0.5,False,True
21f83797,0.8235294117647058,True,True
22a4bbc2,0.5454545454545454,False,False
25094a63,0.6,True,True
2546ccf6,0.9090909090909091,True,True
256b0a75,0.6666666666666666,True,True
2685904e,0.5555555555555556,False,False
2697da3f,0.7142857142857143,False,False
2753e76c,0.8888888888888888,False,False
27a77e38,0.6923076923076923,True,True
27f8ce4f,0.2,True,False
281123b4,0.6666666666666666,False,False
292dd178,1.0,True,True
29700607,0.75,False,False
2a5f8217,0.4,False,True
2b01abd0,0.7857142857142857,False,False
2c0b0aff,0.6363636363636364,True,True
2c737e39,0.5714285714285714,False,False
2f0c5170,0.7777777777777778,False,False
310f3251,0.0,True,False
3194b014,0.9090909090909091,True,True
319f2597,0.7777777777777778,True,True
31adaf00,0.8461538461538461,False,False
31d5ba1a,0.0,True,False
32e9702f,0.5,False,True
332efdb3,0.9333333333333333,False,False
3391f8c0,0.75,True,True
33b52de3,1.0,True,True
3490cc26,0.8,False,False
34b99a2b,0.1111111111111111,True,False
351d6448,0.7142857142857143,False,False
358ba94e,0.9,True,True
37d3e8b2,0.2857142857142857,False,True
3979b1a8,1.0,True,True
3a301edc,0.75,False,False
3b4c2228,0.8823529411764706,False,False
3d31c5b3,0.2727272727272727,True,False
3ed85e70,0.3333333333333333,False,True
3ee1011a,0.8,False,False
3f23242b,0.6666666666666666,False,False
40f6cd08,0.5,False,True
414297c0,0.7777777777777778,False,False
423a55dc,0.125,False,True
42918530,0.7272727272727273,True,True
42a15761,0.8333333333333334,False,False
4364c1c4,0.45454545454545453,True,False
456873bc,0.6,False,False
45737921,1.0,True,True
45bbe264,0.9090909090909091,True,True
477d2879,0.7692307692307693,True,True
