task_id,test_idx,error_type,cell_accuracy
00576224,0,correct,1.0
009d5c81,0,correct,1.0
00dbd492,0,close_miss,0.88
03560426,0,close_miss,0.83
05a7bcf2,0,correct,1.0
0607ce86,0,correct,1.0
0692e18c,0,correct,1.0
070dd51e,0,close_miss,0.995
08573cc6,0,wrong_content,0.6745562130177515
0934a4d8,0,wrong_content,0.25925925925925924
09c534e7,0,close_miss,0.9911111111111112
0a1d4ef5,0,wrong_size,
0a2355a6,0,close_miss,0.8117647058823529
0b17323b,0,correct,1.0
0bb8deee,0,correct,1.0
0becf7df,0,correct,1.0
0c786b71,0,correct,1.0
0c9aba6e,0,correct,1.0
0d87d2a6,0,close_miss,0.9791304347826087
0e671a1a,0,correct,1.0
0f63c0b9,0,correct,1.0
103eff5b,0,close_miss,0.8846153846153846
11e1fe23,0,close_miss,0.9642857142857143
12422b43,0,correct,1.0
12997ef3,0,wrong_size,
12997ef3,1,wrong_size,
12eac192,0,close_miss,0.90625
136b0064,0,wrong_content,0.7518796992481203
13713586,0,correct,1.0
137f0df0,0,correct,1.0
140c817e,0,correct,1.0
14754a24,0,correct,1.0
15113be4,0,close_miss,0.9829867674858223
15663ba9,0,correct,1.0
15696249,0,correct,1.0
16b78196,0,close_miss,0.9166666666666666
17b80ad2,0,correct,1.0
17cae0c1,0,wrong_content,0.7777777777777778
18419cfa,0,close_miss,0.9958791208791209
184a9768,0,close_miss,0.9907692307692307
195ba7dc,0,correct,1.0
1990f7a8,0,correct,1.0
19bb5feb,0,correct,1.0
1a2e2828,0,correct,1.0
1a6449f1,0,wrong_size,
1acc24af,0,close_miss,0.9166666666666666
1c02dbbe,0,correct,1.0
1c0d0a4b,0,correct,1.0
1c56ad9f,0,correct,1.0
1d0a4b61,0,correct,1.0
1d398264,0,correct,1.0
1d398264,1,correct,1.0
1da012fc,0,correct,1.0
1e81d6f9,0,correct,1.0
1e97544e,0,close_miss,0.994328922495274
2037f2c7,0,wrong_size,
2072aba6,0,correct,1.0
20818e16,0,wrong_size,
20981f0e,0,correct,1.0
212895b5,0,close_miss,0.9461697722567288
21f83797,0,correct,1.0
22a4bbc2,0,wrong_content,0.7272727272727273
25094a63,0,correct,1.0
2546ccf6,0,correct,1.0
256b0a75,0,correct,1.0
2685904e,0,close_miss,0.88
2697da3f,0,wrong_size,
2753e76c,0,wrong_size,
27a77e38,0,correct,1.0
27f8ce4f,0,correct,1.0
281123b4,0,close_miss,0.9375
292dd178,0,correct,1.0
29700607,0,close_miss,0.9669421487603306
2a5f8217,0,close_miss,0.9644970414201184
2b01abd0,0,close_miss,0.9955357142857143
2c0b0aff,0,correct,1.0
2c737e39,0,close_miss,0.990909090909091
2f0c5170,0,wrong_size,
310f3251,0,correct,1.0
3194b014,0,correct,1.0
319f2597,0,correct,1.0
31adaf00,0,close_miss,0.97
31d5ba1a,0,correct,1.0
31d5ba1a,1,correct,1.0
32e9702f,0,close_miss,0.99
332efdb3,0,wrong_content,0.7272727272727273
3391f8c0,0,correct,1.0
33b52de3,0,correct,1.0
3490cc26,0,close_miss,0.9169960474308301
34b99a2b,0,correct,1.0
351d6448,0,close_miss,0.8717948717948718
358ba94e,0,correct,1.0
37d3e8b2,0,close_miss,0.8464052287581699
3979b1a8,0,correct,1.0
3a301edc,0,close_miss,0.8820861678004536
3b4c2228,0,correct,1.0
3b4c2228,1,close_miss,0.8888888888888888
3d31c5b3,0,correct,1.0
3ed85e70,0,close_miss,0.9722222222222222
3ee1011a,0,wrong_size,
3f23242b,0,close_miss,0.9566563467492261
40f6cd08,0,close_miss,0.9866666666666667
414297c0,0,close_miss,0.9185185185185185
423a55dc,0,close_miss,0.958041958041958
42918530,0,correct,1.0
42a15761,0,close_miss,0.9617224880382775
4364c1c4,0,correct,1.0
456873bc,0,close_miss,0.9141274238227147
45737921,0,correct,1.0
45bbe264,0,correct,1.0
477d2879,0,correct,1.0
47996f11,0,close_miss,0.9455555555555556
48131b3c,0,correct,1.0
4852f2fa,0,wrong_size,
4852f2fa,1,wrong_size,
48f8583b,0,correct,1.0
4aab4007,0,correct,1.0
4acc7107,0,wrong_content,0.74
4b6b68e5,0,close_miss,0.9214743589743589
4c177718,0,close_miss,0.9777777777777777
4c177718,1,close_miss,0.9407407407407408
4cd1b7b2,0,correct,1.0
4e45f183,0,close_miss,0.9335180055401662
4e469f39,0,correct,1.0
4f537728,0,correct,1.0
4ff4c9da,0,close_miss,0.9561042524005487
505fff84,0,wrong_size,
506d28a5,0,correct,1.0
50a16a69,0,correct,1.0
50aad11f,0,correct,1.0
50f325b5,0,close_miss,0.9558823529411765
516b51b7,0,correct,1.0
5207a7b5,0,correct,1.0
5289ad53,0,correct,1.0
52fd389e,0,close_miss,0.8620689655172413
54db823b,0,correct,1.0
55059096,0,correct,1.0
551d5bf1,0,correct,1.0
55783887,0,close_miss,0.9375
575b1a71,0,close_miss,0.98
5783df64,0,correct,1.0
5833af48,0,close_miss,0.8125
58743b76,0,correct,1.0
58e15b12,0,close_miss,0.8708333333333333
59341089,0,correct,1.0
5a5a2103,0,correct,1.0
5af49b42,0,close_miss,0.9771241830065359
5b526a93,0,correct,1.0
5b692c0f,0,close_miss,0.9940476190476191
5b6cbef5,0,correct,1.0
5d2a5c43,0,correct,1.0
5d2a5c43,1,correct,1.0
5ffb2104,0,close_miss,0.89
604001fa,0,close_miss,0.8833333333333333
60a26a3e,0,correct,1.0
60c09cac,0,correct,1.0
626c0bcc,0,close_miss,0.8571428571428571
62ab2642,0,close_miss,0.9666666666666667
62b74c02,0,correct,1.0
639f5a19,0,correct,1.0
642248e4,0,correct,1.0
642d658d,0,correct,1.0
64a7c07e,0,close_miss,0.9583333333333334
66e6c45b,0,correct,1.0
66f2d22f,0,correct,1.0
67636eac,0,wrong_size,
67b4a34d,0,correct,1.0
67c52801,0,correct,1.0
68b67ca3,0,correct,1.0
692cd3b6,0,correct,1.0
695367ec,0,wrong_content,0.68
696d4842,0,close_miss,0.98
69889d6e,0,correct,1.0
6a11f6da,0,correct,1.0
6ad5bdfd,0,close_miss,0.83
6df30ad6,0,correct,1.0
6ea4a07e,0,correct,1.0
6ea4a07e,1,correct,1.0
6f473927,0,correct,1.0
7039b2d7,0,wrong_size,
